token_id,split,token_audio_path,target_tone_proxy,target_tone_proxy_source,predicted_tone,model_candidate,model_score_type,decision_score_T1,decision_score_T2,decision_score_T3,decision_score_T4,top1_margin,runner_up_tone,context_status,boundary_provenance,pitch_provenance,source_audio_path,source_audio_status,previous_lexical_tone,following_lexical_tone,sandhi_context,annotation_status,gold_status,auto_promotion_prohibited,human_perceived_tone,human_correctness,reviewer_id,reviewed_at,adjudicator_id,adjudication_status,review_notes,queue_reasons,priority_band
00204228_04,train,benchmark_token_segments/00204228_04.wav,T3,human_correct_prompt_proxy,T2,fusion,uncalibrated_linear_svm_margin,-0.43225867104200666,-0.09535496154829881,-0.10208686996329797,-1.0149130671967428,0.00673191,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00200214_00,train,benchmark_token_segments/00200214_00.wav,T3,human_correct_prompt_proxy,T2,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-1.8555434127446089,0.08042970677615746,0.06884304493451798,-1.2328198916390218,0.01158666,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00202826_09,train,benchmark_token_segments/00202826_09.wav,T3,human_correct_prompt_proxy,T2,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-0.42085287049873676,-0.33690202490728316,-0.47802127818085216,-0.3807690783403527,0.04386705,T4,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00203828_07,train,benchmark_token_segments/00203828_07.wav,T3,human_correct_prompt_proxy,T4,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-0.15188955996174608,-1.0913735409597913,-1.406950703054508,-0.1004727893585155,0.05141677,T1,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00204229_03,train,benchmark_token_segments/00204229_03.wav,T3,human_correct_prompt_proxy,T2,fusion,uncalibrated_linear_svm_margin,-0.30038045893618365,-0.052933629614227096,-0.1065481005076454,-1.5905236883181955,0.05361447,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00202020_08,train,benchmark_token_segments/00202020_08.wav,T3,human_correct_prompt_proxy,T2,fusion,uncalibrated_linear_svm_margin,-1.1958383260527565,-0.19108521975623977,-0.4597730470916998,-0.25093673017956186,0.05985151,T4,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00200920_08,train,benchmark_token_segments/00200920_08.wav,T3,human_correct_prompt_proxy,T2,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-0.062181609370503765,0.012095296193584848,-0.5712503120114352,-1.2200047236242364,0.07427691,T1,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00203126_09,train,benchmark_token_segments/00203126_09.wav,T3,human_correct_prompt_proxy,T1,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,0.13875560508790896,-0.5857627124447649,0.04119570251851934,-1.9511981399581964,0.0975599,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00204408_04,train,benchmark_token_segments/00204408_04.wav,T3,human_correct_prompt_proxy,T2,fusion,uncalibrated_linear_svm_margin,-0.8640460526283986,-0.2373344784533068,-0.4849686179678937,-0.38372919293729857,0.14639471,T4,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
00201920_08,train,benchmark_token_segments/00201920_08.wav,T3,human_correct_prompt_proxy,T1,fusion_plus_voiced_nucleus,uncalibrated_linear_svm_margin,-0.03918212418820388,-0.5852637497867548,-0.19351025361847596,-1.107201314501194,0.15432813,T3,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,needs_data_train_metadata_not_supplied,,needs_data_train_metadata_not_supplied,,,needs_data_train_metadata_not_supplied,preannotation_needs_human_review,not_gold,True,,,,,,not_reviewed,,T3_error;low_margin_ambiguous,1
