alignment_success,annotation_id,annotation_version,annotator_id,audio_duration_ms,audio_path,audio_qc_annotator_id,audio_qc_expected_usable,audio_qc_notes,audio_qc_predicted_usable,audio_qc_reasons,audio_qc_reviewed_at,audio_qc_status,char_alignment_status,char_end_ms,char_start_ms,character,character_index,confidence,confidence_correct,consent_note,corpus,correct_expected,correct_incorrect,correct_predicted,dataset_split,detected_tone,device,expected_pinyin,expected_tone,high_confidence_pass,human_usable_boundary,is_sealed_test,learner_l1,level,model_version,notes,parent_id,phone,phone_boundary_error_ms,phone_boundary_status,phone_confidence,phone_detected,phone_end_ms,phone_expected,phone_gold_source,phone_index,phone_start_ms,pinyin,produced_tone,recording_id,review_status,reviewed_at,row_type,sample_rate_hz,schema_version,session_id,source_url,speaker_id,teacher_agreement,teacher_consensus,tone_confidence,tone_label_status,tone_probability_t1,tone_probability_t2,tone_probability_t3,tone_probability_t4,tone_probability_t5,transcript
,295dec7ff2e63898,,,,F1 (1).wav,,,,,,,needs_review,needs_annotation,,,,,,,Corpus page states participants consented to publication; retain source citation.,NTU Speech Corpus for L2 Mandarin,,,,unassigned,,,,,,,False,unknown,unknown,,,,,,needs_annotation,,,,,,,,,,F1 (1).wav,needs_annotation,,audio,,,,https://sites.google.com/site/tehsinphono/resources/mandarin-learners-speech-bank,F1,,,,needs_annotation,,,,,,
,ca44272030468db7,,,,F1.wav,,,,,,,needs_review,needs_annotation,,,,,,,Corpus page states participants consented to publication; retain source citation.,NTU Speech Corpus for L2 Mandarin,,,,unassigned,,,,,,,False,unknown,unknown,,,,,,needs_annotation,,,,,,,,,,F1.wav,needs_annotation,,audio,,,,https://sites.google.com/site/tehsinphono/resources/mandarin-learners-speech-bank,F1,,,,needs_annotation,,,,,,
,3947b2d69e60e812,,,,F2 (1).wav,,,,,,,needs_review,needs_annotation,,,,,,,Corpus page states participants consented to publication; retain source citation.,NTU Speech Corpus for L2 Mandarin,,,,unassigned,,,,,,,False,unknown,unknown,,,,,,needs_annotation,,,,,,,,,,F2 (1).wav,needs_annotation,,audio,,,,https://sites.google.com/site/tehsinphono/resources/mandarin-learners-speech-bank,F2,,,,needs_annotation,,,,,,
,8f7b6348c6d179e1,,,,F2.wav,,,,,,,needs_review,needs_annotation,,,,,,,Corpus page states participants consented to publication; retain source citation.,NTU Speech Corpus for L2 Mandarin,,,,unassigned,,,,,,,False,unknown,unknown,,,,,,needs_annotation,,,,,,,,,,F2.wav,needs_annotation,,audio,,,,https://sites.google.com/site/tehsinphono/resources/mandarin-learners-speech-bank,F2,,,,needs_annotation,,,,,,
,144811b7c1a4fe77,,,,F3 (1).wav,,,,,,,needs_review,needs_annotation,,,,,,,Corpus page states participants consented to publication; retain source citation.,NTU Speech Corpus for L2 Mandarin,,,,unassigned,,,,,,,False,unknown,unknown,,,,,,needs_annotation,,,,,,,,,,F3 (1).wav,needs_annotation,,audio,,,,https://sites.google.com/site/tehsinphono/resources/mandarin-learners-speech-bank,F3,,,,needs_annotation,,,,,,
,4cbc29ea39692a89,,,,F3.wav,,,,,,,needs_review,needs_annotation,,,,,,,Corpus page states participants consented to publication; retain source citation.,NTU Speech Corpus for L2 Mandarin,,,,unassigned,,,,,,,False,unknown,unknown,,,,,,needs_annotation,,,,,,,,,,F3.wav,needs_annotation,,audio,,,,https://sites.google.com/site/tehsinphono/resources/mandarin-learners-speech-bank,F3,,,,needs_annotation,,,,,,
,57be6aa9d6e6f4ef,,,,JF1.wav,,,,,,,needs_review,needs_annotation,,,,,,,Corpus page states participants consented to publication; retain source citation.,NTU Speech Corpus for L2 Mandarin,,,,unassigned,,,,,,,False,unknown,unknown,,,,,,needs_annotation,,,,,,,,,,JF1.wav,needs_annotation,,audio,,,,https://sites.google.com/site/tehsinphono/resources/mandarin-learners-speech-bank,JF1,,,,needs_annotation,,,,,,
,30f9ac83b0a4c33f,,,,JF2.wav,,,,,,,needs_review,needs_annotation,,,,,,,Corpus page states participants consented to publication; retain source citation.,NTU Speech Corpus for L2 Mandarin,,,,unassigned,,,,,,,False,unknown,unknown,,,,,,needs_annotation,,,,,,,,,,JF2.wav,needs_annotation,,audio,,,,https://sites.google.com/site/tehsinphono/resources/mandarin-learners-speech-bank,JF2,,,,needs_annotation,,,,,,
,a468df01c492d0e3,,,,JF3.wav,,,,,,,needs_review,needs_annotation,,,,,,,Corpus page states participants consented to publication; retain source citation.,NTU Speech Corpus for L2 Mandarin,,,,unassigned,,,,,,,False,unknown,unknown,,,,,,needs_annotation,,,,,,,,,,JF3.wav,needs_annotation,,audio,,,,https://sites.google.com/site/tehsinphono/resources/mandarin-learners-speech-bank,JF3,,,,needs_annotation,,,,,,
,84e5644ff03e986f,,,,JM1.wav,,,,,,,needs_review,needs_annotation,,,,,,,Corpus page states participants consented to publication; retain source citation.,NTU Speech Corpus for L2 Mandarin,,,,unassigned,,,,,,,False,unknown,unknown,,,,,,needs_annotation,,,,,,,,,,JM1.wav,needs_annotation,,audio,,,,https://sites.google.com/site/tehsinphono/resources/mandarin-learners-speech-bank,JM1,,,,needs_annotation,,,,,,
,8ea11fb0d51d12fe,,,,JM2.wav,,,,,,,needs_review,needs_annotation,,,,,,,Corpus page states participants consented to publication; retain source citation.,NTU Speech Corpus for L2 Mandarin,,,,unassigned,,,,,,,False,unknown,unknown,,,,,,needs_annotation,,,,,,,,,,JM2.wav,needs_annotation,,audio,,,,https://sites.google.com/site/tehsinphono/resources/mandarin-learners-speech-bank,JM2,,,,needs_annotation,,,,,,
